ACNT|Accounting
ARAF|African-American Studies, Institute for Research in
AFSB|Africana Studies
AMLP|American Language Program
AMST|American Studies
AMSB|American Studies @Barnard
ANCB|ANCIENT STUDIES (BARNARD)
ANES|Anesthesiology
ANTH|Anthropology
ANTB|Anthropology @Barnard
APAM|Applied Physics and Applied Mathematics
ARCB|Architecture @Barnard
ARPL|Architecture, Planning and Preservation
ARHB|Art History @Barnard
AHAR|Art History and Archaeology
ARTS|Arts, School of the
ASAM|Asian American Studies
ASMB|Asian and Middle East @Barnard
ASTR|Astronomy
ASTB|Astronomy and Physics @Barnard
ACLB|ATHENA CENT FR LEADERSHIP STDS
AUDT|Auditing
CORE|B-SCHOOL CORE
BICH|Biochemistry and Molecular Biophysics
BIOS|Biological Sciences
BIOB|Biological Sciences @Barnard
BMEN|Biomedical Engineering
BINF|Biomedical Informatics
BIST|Biostatistics
BUSI|Business
CMBS|Cellular, Molecular, and Biophysical Studies
CHEN|Chemical Engineering
CHEM|Chemistry
CHMB|Chemistry @Barnard
CEEM|Civil Engineering and Engineering Mechanics
CLAS|Classics
CLSB|Classics @Barnard
CERC| Conservat
COLL|Columbia College
CSOB|Comparative Literature and Society @Barnard
CCLS|Comparative Literature and Society, Center for
COMS|Computer Science
COCI|Contemporary Civilization and Literature Humanities
DANB|Dance @Barnard
DROM|Decision, Risk and Operations
DEOS|Dental and Oral Surgery
DERM|Dermatology
THDR|DRAMA AND THEATRE ARTS
EAEE|Earth and Environmental Engineering
EESC|Earth and Environmental Sciences
EALC|East Asian Languages and Cultures	
EEEB|Ecology, Evolution, and Environmental Biology
ECON|Economics
ECOB|Economics @Barnard
EDNB|Education @Barnard
ELEN|Electrical Engineering
EMED|EMERGENCY MEDICINE
ENGI|Engineering
ENGB|English @Barnard
ENCL|English and Comparative Literature
EHSC|Environmental Health Sciences
ENSB|Environmental Sciences @Barnard
EPID|Epidemiology
CSER|Ethnicity and Race, Center for
EMPH|EXECTIVE MPH
FILM|Film
FLMB|Film @Barnard
FIEC|Finance and Economics
FYSB|First-Year Seminar Program @Barnard
FRNB|French @Barnard
FRRP|French and Romance Philology
GNPH|General Public Health
GEST|General Studies
GEND|Genetics and Development
GRMB|German @Barnard
GERL|Germanic Languages
PHGH|Global Health Track
DGLO|GLOBAL PROGRAMS
GSAS|Graduate School of Arts and Sciences
HPMN| Management
HIST|History
HSTB|History @Barnard
HNUT|Human Nutrition, Institute of
HRTB|Human Rights (HRTB)
HUMC|Humanities (College)
IEOR|Industrial Engineering and Operations Research
ISRP|INS SOC/ECON RSRH POLICY
CSHR|INSTITUTE FOR ST OF HUMAN RIGH
INTA|International and Public Affairs
ITAL|Italian
ITLB|Italian @Barnard
CJAZ|Jazz Studies, Center for
JOUR|Journalism
KYTO|KYOTO
LCRS| Carib RS
LATS|Latino Studies
MANG|Management
MSOM|Management Science
MART|Marketing
MATH|Mathematics
MATB|Mathematics @Barnard
MECE|Mechanical Engineering
MEDI|Medicine
MRSB|Medieval and Renaissance Studies @Barnard
MICR|Microbiology
MELC|Middle Eastern, South Asian and African Studies
MUSI|Music
MUSB|Music @Barnard
NBIO|Neurobiology and Behavior
NEUR|Neurology
NURS|Nursing
OBSG|Obstetrics and Gynecology
OPHT|Ophthalmology
ORTS|Orthopedic Surgery
OTOL|Otolaryngology / Head and Neck Surgery
PATH|Pathology
PEDI|Pediatrics
PHAR|Pharmacology
PHIL|Philosophy
PHLB|Philosophy @Barnard
PHED|Physical Education
PEDB|Physical Education @Barnard
PHYS|Physics
PHYB|Physics and Astronomy @Barnard
PHYG| Cellular Biophysics
POLS|Political Science
PLSB|Political Science @Barnard
POPF|Population and Family Health
PSCY|Psychiatry
PSCC|Psychoanalytic Center
PSYC|Psychology
PSYB|Psychology @Barnard
PUBH|Public Health
RADI|Radiology
RMED|Rehabilitation Medicine
RELI|Religion
RELB|Religion @Barnard
DVSP|School of Continuing Education
SCPB|Science and Public Policy @Barnard
SLAL|Slavic Languages
SLAB|Slavic Languages @Barnard
SOCW|Social Work
SOCI|Sociology
SOCB|Sociology @Barnard
SOSC|Sociomedical Sciences
SPNB|Spanish and Latin American Culture
SPPO|Spanish and Portuguese
STAT|Statistics
SHSP|SUMMER HIGH SCHOOL PROGRAM
SURG|Surgery
THEB|Theatre @Barnard
THEA|Theatre Arts
UTFE|Union Theological Seminary (UTFE)
UTSD|Union Theological Seminary (UTSD)
URBS|Urban Studies
URSB|Urban Studies @Barnard
UROL|Urology
VIAR|Visual Arts
WMST|Women's and Gender Studies
WSTB|Women's Studies @Barnard
WRIT|Writing
